id,cp,latitude,longitude
93410002,93410,4893500,256700
93300001,93300,4891800,237900
4360001,04360,4384400,621500
15700001,15700,4513300,222000
76320002,76320,4929000,104000
47140002,47140,4439673,80632
85340001,85340,4654300,-177200
11160003,11160,4328458.3541238,257478.0754133
44780002,44780,4748282.2997314,-216139.44821039
62380001,62380,5070998,212748
88250003,88250,4800400,683400
22500003,22500,4877107.1642219,-304001.48040401
8200005,08200,4969900,492800
68200019,68200,4773842.9993093,729419.53372956
45410001,45410,4808200,186700
50800004,50800,4881600,-129000
28700004,28700,4847800,176800
79170001,79170,4614000,-22100
10000006,10000,4828900,407600
85170009,85170,4676500,-150500
88270001,88270,4822000,622400
95570009,95570,4906000,234800
95310010,95310,4904000,211600
15100013,15100,4503100,309300
30300006,30300,4369100,460500
34000017,34000,4357884.5,387676.2
62820003,62820,5048600,299700
95610007,95610,4902600,210300
42660001,42660,4534286.9278199,442078.64105866
8000007,08000,4978500,471300
47210001,47210,4463500,73800
64150008,64150,4338565.4130567,-61129.551817699
44110002,44110,4770500,-138900
44270001,44270,4699900,-181700
20248001,20248,4295666.9635916,944535.96189195
70300012,70300,4781700,638100
56200004,56200,4777878.8439912,-212602.73830208
13013014,13013,4331700,540400
33127002,33127,4480100,-77900
31450004,31450,4350652.71232,155587.32658
11300003,11300,4305900,221400
13270005,13270,4346495.2910717,494067.07421088
28210003,28210,4865000,153800
83200005,83200,4312800,591800
28500001,28500,4871700,136900
11800002,11800,4320300,244300
6670010,06670,4385549.3454463,719733.28111143
9270003,09270,4325100,167800
1390011,01390,4588550.5980051,489362.17878982
69250009,69250,4587200,483900
26270009,26270,4472016.0117012,478701.71386338
44400006,44400,4718000,-153300
82500002,82500,4387800,98800
34540002,34540,4343900,370000
44360007,44360,4727800,-172100
94350003,94350,4883400,254700
38640001,38640,4511900,569300
15600001,15600,4470600,219500
95230010,95230,4899075.3655031,228923.81272629
12300005,12300,4455913.1275643,225812.46898855
14500012,14500,4885535.2304616,-86509.947100102
91600005,91600,4868000,234200
75016026,75016,4887366,229201.5
91700006,91700,4864218.06,232860.11
18000001,18000,4710300,241000
28160004,28160,4824000,108300
13500001,13500,4341800,505300
55000005,55000,4878700,514000
1480006,01480,4599345.2,478255.2
69500008,69500,4573800,489400
73390007,73390,4554888.9302926,615750.8723526
58800001,58800,4725500,368300
72400017,72400,4812496.4192082,62210.350597264
62360006,62360,5068900,161900
59110001,59110,5065500,306000
69380010,69380,4590300,473000
42380001,42380,4543200,407200
42220004,42220,4530000,458200
27210008,27210,4934689.1592656,33742.412939517
61230006,61230,4884900,37300
57340004,57340,4893400,665200
61320002,61320,4857016.16,-15060.59
74700005,74700,4594482.3296706,663012.1822089
24100019,24100,4485570.5921094,47879.478719295
50600002,50600,4858800,-108700
47240003,47240,4416859.203339,70122.277605207
84550004,84550,4419500,473100
29710004,29710,4800100,-433600
77380001,77380,4864900,256300
25220003,25220,4727300,610200
95220006,95220,4900291,218698
76490002,76490,4952922,72064
41100006,41100,4779700,105900
68124002,68124,4808594,731377
82000007,82000,4402500,133100
47700002,47700,4431900,9300
11200007,11200,4326500,271800
26200008,26200,4455513.686,473743.342
77910001,77910,4900096,292102
91460013,91460,4864800,218900
31860006,31860,4348106.1536704,138543.13384841
57320004,57320,4928800,653000
59440001,59440,5011924,392756
28220002,28220,4799000,125600
50380003,50380,4881400,-154400
62610005,62610,5088100,197200
7130005,07130,4495800,484700
49460001,36240,4708083.04741,134648.212627
91270003,91270,4870000,242000
82440003,82440,4411600,148000
49300007,49300,4707500,-84300
94430007,94430,4879900,254300
31500008,31500,4360600,148100
31240002,31240,4364900,148400
14100003,14100,4914300,26600
57740007,57740,4910900,668600
89000004,89000,4779300,357500
76950001,76950,4978900,122200
26240006,26240,4517123.42,481396.8
43190003,43190,4510855.2970837,429583.88576009
55110003,55110,4939100,518300
42110003,42110,4575338.7108442,421969.76236342
60140003,60140,4932593,246409
44530003,44530,4750937,-204035
81150003,81150,4391900,202900
46200003,46200,4489800,146300
20230011,20230,4225900,954700
67800011,67800,4862094.77678,773121.595196
50370002,50370,4872241.84794,-116704.619218
81990002,81990,4391095.3537083,212943.80183045
76600022,76600,4948500,9600
59817002,59817,5058123.9973872,311136.89595328
36100003,36100,4693800,194700
24450001,24450,4553900,97600
31470006,31470,4354734,119208
66420003,66420,4282400,303500
76380003,76380,4945000,102800
31210001,31210,4306544,58785
63430004,63430,4580100,324300
56500005,56500,4790027,-283932
78370002,78370,4882900,195800
83630002,83630,4361700,622000
35230006,35230,4806500,-169800
1300002,01300,4575572,568334
95100035,95100,4895230.6479647,221301.57579777
64210005,64210,4342214,-159760
1120005,01120,4584700,504800
39100008,39100,4708900,548100
82600002,82600,4380000,122100
58260002,58260,4688127.3710453,346460.48460411
69720004,69720,4569100,503800
45320004,45320,4803700,304700
17580002,17580,4617771.0860263,-137215.89695779
15250004,15250,4499661,242166
73490003,73490,4557000,596200
72440001,72440,4797200,55600
6150011,06150,4355060,699230
69110006,69110,4574800,480100
81380001,81380,4395500,215600
81700006,81700,4356619.3463721,200496.97250702
77165006,77165,4903354,280467
38100003,38100,4517100,572400
12500004,12500,4452300,276300
81100005,81100,4362000,227000
68290002,68290,4777400,699900
57520001,57520,4913400,704400
93140002,93140,4890573.6767977,248145.02497433
68000016,68000,4808300,735100
45340001,45340,4806500,242100
77515001,77515,4880000,298600
60650006,60650,4941700,192400
26240008,26240,4519300,481500
40006001,40000,4387700,-46700
35410002,35410,4805600,-152500
43000002,43000,4505000,388800
30100012,30100,4414000,409100
54150001,54150,4925400,593700
70200004,70200,4768300,651800
60560001,60560,4913100,252100
42480002,42480,4549700,431900
13014015,13014,4331865.8,539047.3
58180001,58180,4699900,310700
29250002,29250,4867900,-399900
65310001,65310,4320600,7200
94140004,94140,4880430,241212
41240003,41240,4790400,146600
76000014,76000,4943400,107600
59153001,59153,5098911.3674821,211230.38830092
1100008,01100,4626700,565500
72190003,72190,4805508.6609731,25282.942866116
59265001,59265,5026625.0327214,315955.37708461
6370002,06370,4361390.093,697646.643
79000014,79000,4628911.1819782,-51087.009183311
4330007,04330,4395261.8,636500.9
60210002,60210,4966000,194100
33430005,33430,4443900,-22900
73140008,73140,4521772.1060879,646194.18301368
62380002,62380,5070917.07625,211618.475084
94470006,94470,4874800,251000
31000003,31200,4363600,143300
72320005,72320,4806812.7,73191.6
2400008,02400,4904300,339500
8230001,08230,4992800,452600
46140002,46140,4447800,129400
50700003,50700,4949702.8507626,-146670.11594828
57730001,57730,4907700,669300
49000004,49100,4748500,-54800
56150001,56150,4787700,-302000
64000009,64000,4331700,-35600
73024001,73000,4558900,589000
31500007,31000,4362600,145900
17470001,17470,4602900,-35100
69380008,69380,4586900,470000
95450007,95450,4906419.5539574,198270.89208983
30300005,30300,4378900,464500
83340010,83340,4339300,632100
27210003,27210,4933721,35245
20600004,20600,4266306,943007
38340018,38340,4527700,562300
91300022,91300,4873100,224200
18000021,18000,4708200,236500
83440004,83440,4360694.7931307,676358.96541292
14440001,14440,4928900,-37800
30140002,30140,4405184,398507
74440004,74440,4609131.5,667336.7
30900017,30900,4381000,432900
2420001,02420,4996029,323160
88200017,88200,4802618.6,658088.7
52600002,52600,4784100,554900
38000015,38000,4520000,574000
31470007,31470,4353600,123100
33710003,33710,4507600,-49900
82000010,82000,4403300,137500
61000009,61000,4844400,10000
13210002,13210,4379300,482700
33110007,33110,4486000,-61200
57070011,57070,4910800,620600
71304001,71300,4668098,437140
14210001,14210,4910372,-50006
74210002,74210,4577600,622200
68170004,68170,4775400,739700
63550001,63550,4588900,359600
87280002,87280,4591400,129300
74000007,74000,4589500,612000
82210005,82210,4406609.0552934,101853.72683245
81400001,81400,4402700,215500
33502001,33500,4489800,-20900
21300004,21300,4729307,501616
69400016,69400,4602600,470200
14320003,14320,4911400,-37400
18200002,18200,4672600,250300
13520001,13520,4372300,479600
27150004,27150,4930500,162200
28000011,28000,4845000,150600
70000009,70000,4764400,614500
49000012,49000,4745400,-55400
57970002,57970,4937500,622900
31670001,31670,4353100,153500
47250001,47250,4443100,12900
69610001,69610,4569970.87496,445586.71352
78150007,78150,4881900,212000
93290003,93290,4894674.60327,257048.818541
38610001,38610,4518100,578600
5230007,05230,4455200,625600
76430005,76430,4952900,34300
56450004,56450,4757600,-262800
80420003,80420,5002800,206700
11400002,11400,4331300,196500
39570009,39570,4667216.77,557872.66
91660001,91660,4831300,207600
95420005,95420,4913514,178964
15190004,15190,4533883.7005857,275901.62851812
56430002,56430,4807774,-227185
14200006,14200,4918900,-33300
50800003,50800,4883500,-121900
83720001,83720,4350847.7194755,647924.27374907
92230010,92230,4892082,230617
80700010,80700,4970500,276600
38300001,38300,4558900,529700
29170001,29170,4790200,-402700
13008019,13008,4325487.4744706,538228.61365342
63500006,63500,4553600,325200
17120004,17120,4550600,-75700
87600004,87600,4583300,83100
64240005,64240,4349396.204,-129340.512
56300009,56300,4808100,-296700
76680005,76680,4967800,133700
20270001,20270,4211500,951400
78800006,78800,4893200,218200
27210006,27210,4932019.5215107,31970
27300007,27300,4908900,60300
42720001,42720,4613900,410800
90500001,90500,4748973,692225
68480004,68480,4749300,739100
86100015,86100,4681842.6785454,52557.115196228
59500009,59500,5036300,308300
79800008,79800,4645184.5219877,-1597.7181017418
43300004,43300,4510938.38,349199.15
69110004,69110,4574900,479400
95350004,95350,4899300,235900
16150003,16150,4587800,72600
79300001,79300,4683500,-48200
30700006,30700,4401100,440800
25300005,25300,4692200,634300
92110010,92110,4890700,230100
31170004,31170,4357800,132700
88140004,88140,4818900,590200
49125001,49125,4761508,-46414
77100009,77100,4895848,291730
71270005,71270,4688300,524800
17150001,17150,4537800,-57000
77140010,77140,4826170.1654868,272203.66668701
20220006,20220,4260900,887500
74100013,74100,4618200,623800
29120003,29120,4786445.693,-423442.414
