id,cp,ville,adresse,latitude,longitude,enseigne,gazole,e10,sp98,tendance_gazole,tendance_e10,tendance_sp98,tendance_demain_gazole,confiance_demain_gazole,tendance_demain_e10,confiance_demain_e10,tendance_demain_sp98,confiance_demain_sp98
87570002,87570,RILHAC RANCON,87 rue jean monet,45.89885,1.31178,Carrefour Contact,1.899,,1.999,egal,,egal,stable,1,stable,1,stable,1
77550004,77550,REAU,AUTOROUTE A5B - AIRE DE GALANDE-LA-MARE-LAROCHE,48.626,2.63,Total,1.990,1.990,1.990,hausse,egal,egal,stable,1,stable,1,stable,1
69700002,69700,LOIRE-SUR-RHôNE,1293 Route de Beaucaire (Ex.45 R.N. 86),45.56,4.81,Total,,,,,,,stable,1,stable,1,stable,1
43770001,43770,Chadrac,17 Avenue des Champs Élysées,45.0534384,3.898674,Intermarché,1.850,1.869,1.983,egal,egal,egal,stable,1,stable,1,stable,1
69480002,69480,Anse,633 route de villefranche,45.943,4.715,Avia,1.949,,1.969,egal,,egal,stable,1,stable,1,stable,1
91100019,91100,CORBEIL ESSONNES,46 avenue du 8 mai 1945,48.611,2.452,Esso,1.888,1.904,1.984,hausse,baisse,baisse,stable,1,stable,1,stable,1
88170006,88170,SANDAUCOURT,AUT.A31-AIRE DE LORRAINE SANDAUCOURT-LES RAPPES,48.266636,5.863744,Total,2.030,1.990,1.990,hausse,egal,egal,stable,1,stable,1,stable,1
33440006,33440,Ambarès-et-Lagrave,avenue des Industries,44.926153,-0.520542,Avia,1.939,2.059,,baisse,egal,,stable,1,stable,1,stable,1
74330002,74330,ÉPAGNY,Route Nationale 508,45.941,6.088,Total,2.050,,1.970,egal,,egal,stable,1,stable,1,stable,1
14470001,14470,COURSEULLES-SUR-MER,ROUTE DE CAEN,49.3189256,-0.4527562,TotalEnergies,1.956,1.960,,hausse,baisse,,stable,1,stable,1,stable,1
59540002,59540,CAUDRY,Rue de la Gare,50.1120775,3.4088173,Intermarché,1.833,1.851,,baisse,baisse,,stable,1,stable,1,stable,1
95100011,95100,Argenteuil,2 Avenue Gabriel Péri,48.943,2.253,Esso Express,1.903,1.904,1.984,hausse,baisse,baisse,stable,1,stable,1,stable,1
75016001,75016,PARIS,1 Avenue du Général Sarrail,48.847,2.256,Carrefour,1.950,1.959,2.049,baisse,baisse,baisse,stable,1,stable,1,stable,1
26400002,26400,CREST,19 AVENUE ADRIEN FAYOLLE,44.726,5.03,Eni,1.969,1.969,2.069,egal,egal,egal,stable,1,stable,1,stable,1
6201001,06200,Nice,606 boulevard du mercantour,43.73,7.186,Carrefour,1.862,1.855,2.010,baisse,hausse,hausse,stable,1,stable,1,stable,1
