id_station;enseigne_actuelle;adresse_actuelle;code_postal;ville;latitude_actuelle;longitude_actuelle;statut_verification;motif_verification;source_actuelle;google_place_id;google_enseigne;google_adresse;google_latitude;google_longitude;google_verifie_le;decision;commentaire
91100019;Esso;46 avenue du 8 mai 1945;91100;Corbeil-Essonnes;48.611;2.452;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
88170006;Total;AUT.A31-AIRE DE LORRAINE SANDAUCOURT-LES RAPPES;88170;Sandaucourt;48.266636;5.863744;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
33440006;Avia;avenue des Industries;33440;Ambarès-et-Lagrave;44.926153;-0.520542;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
14470001;TotalEnergies;ROUTE DE CAEN;14470;Courseulles-sur-Mer;49.3189256;-0.4527562;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
59540002;Intermarché;Rue de la Gare;59540;Caudry;50.1120775;3.4088173;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
95100011;Esso Express;2 Avenue Gabriel Péri;95100;Argenteuil;48.943;2.253;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
75016001;Carrefour;1 Avenue du Général Sarrail;75016;Paris;48.847;2.256;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
26400002;Eni;19 AVENUE ADRIEN FAYOLLE;26400;Crest;44.726;5.03;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
6201001;Carrefour;606 boulevard du mercantour;06200;Nice;43.73;7.186;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
88400005;TotalEnergies;68 BOULEVARD KELSCH;88400;Gérardmer;48.075;6.884;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
80580001;E.Leclerc;RUE JEAN MOULIN;80580;Pont-Remy;50.0593394;1.8969267;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
66170002;Agnel & Fils;157 AVENUE JEAN JAURES;66170;Millas;42.692;2.691;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
89690001;Intermarché;ROUTE DES BEDETS;89690;Chéroy;48.2;2.992;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
13200009;Intermarché;ZAC de la Fourchon;13200;Arles;43.667512;4.63468;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
67500013;Intermarché;2 RUE DU POSTILLON;67500;Haguenau;48.827314;7.792444;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
39260003;Intermarché;AVENUE DE FRANCHE COMTE;39260;Moirans-en-Montagne;46.439;5.722;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
73600010;Casino;446 AVENUE DES 16EMES J.O. D HIVER;73600;Moûtiers;45.4885153;6.5276747;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
8150003;TotalEnergies;89 AVENUE DES MARTYRS DE LA RESISTANCE;08150;Renwez;49.833628;4.603904;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
20137007;Total;Station TOTAL - Quartier La Poretta;20137;Porto-Vecchio;41.602;9.276;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
13400003;Total;1000 Route de Gemenos;13400;Aubagne;43.297;5.586;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
94420001;Total;63 avenue Maurice Berteaux;94420;Le Plessis-Trévise;48.813;2.566;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
69550003;Intermarché;Route de Roanne;69550;Amplepuis;45.97868;4.3202;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
29270003;Intermarché;2 rue Charles Le Goff;29270;Carhaix-Plouguer;48.27519;-3.58155;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
81600001;E.Leclerc;Route de Toulouse;81600;Gaillac;43.8941404;1.8829744;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
34170001;Système U;753 Route de la Pompignane;34170;Castelnau-le-Lez;43.623;3.898;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
59119003;Total Access;194 Route de Tournai;59119;Waziers;50.392;3.108;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
73420001;E.Leclerc;214 Chemin de la Boisière;73420;Drumettaz-Clarafond;45.6580103;5.9104808;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
83136012;Total;43 avenue de La Liberation;83136;Forcalqueiret;43.339;6.084;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
38470002;Super U;251, Rue de l'Europe;38470;Vinay;45.2077672;5.4119312;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
12350002;Spar;Avenue du rouergue;12350;Lanuéjouls;44.424;2.156;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
33520002;Esso;A630 ROC.PRESQU'ILE LAC COTE2;33520;Bruges;44.888;-0.579;a_verifier_google_places;adresse BAN eloignee des coordonnees, correspondance OpenStreetMap ambigue;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
71000020;;Rue Frédéric Mistral;71000;Mâcon;46.292;4.811;a_verifier_google_places;enseigne inconnue, correspondance OpenStreetMap ambigue;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
74210003;Intermarché;ZA les Boucheroz RN 508;74210;Faverges-Seythenex;45.7542259;6.2781024;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
29610002;Casino;AVENUE DU MARECHAL LECLERC;29610;Plouigneau;48.57;-3.708;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
14130010;;AIRE DE QUETTEVILLE A29;14130;Quetteville;49.336906;0.308019;a_verifier_google_places;enseigne inconnue, adresse BAN eloignee des coordonnees, aucune station OpenStreetMap proche;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
38490013;Avia;556 rue gambetta;38490;Les Abrets en Dauphiné;45.53252;5.586953;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
37380004;Total;AUTOROUTE A10 - AIRE TOURS VAL DE LOIRE;37380;Monnaie;47.4733368;0.7757909;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
7380002;Intermarché;Allée de Vals;07380;Lalevade-d'Ardèche;44.6506233;4.323144;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
25310001;Carrefour Contact;32  GRANDE RUE;25310;Blamont;47.391115;6.847145;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
51240002;Intermarché;RN44;51240;Pogny;48.861;4.485;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
63360003;Intermarché;Rue des Martyrs;63360;Gerzat;45.8193725;3.1493675;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
30160002;La Sauvegarde;Sauvegarde;30160;Bessèges;44.287;4.11;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
86000021;;70, avenue John Kennedy;86000;Poitiers;46.589;0.36;a_verifier_google_places;enseigne inconnue, adresse BAN eloignee des coordonnees, correspondance OpenStreetMap ambigue;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
55700006;Intermarché;AVENUE DE VERDUN;55700;Stenay;49.4907081;5.1931204;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
53140001;;zone Normandie Maine;53140;Pré-en-Pail-Saint-Samson;48.459277;-0.201908;a_verifier_google_places;enseigne inconnue, adresse BAN eloignee des coordonnees, aucune station OpenStreetMap proche;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
31190002;Netto;RN20;31190;Auterive;43.348381;1.472038;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
58000010;Esso;10 Boulevard Pierre de Coubertin;58000;Nevers;46.987;3.162;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
6580001;Super U;87 Route de la Fènerie;06580;Pégomas;43.592;6.93;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
33640002;Total;43 Route des Graves;33640;Portets;44.688;-0.417;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
21510001;Avia;9 Rue d'Archeron;21510;Aignay-le-Duc;47.663975;4.729923;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
29510005;;Rue d'Armor;29170;Saint-Évarzec;47.938;-4.023;a_verifier_google_places;enseigne inconnue, adresse BAN eloignee des coordonnees, correspondance OpenStreetMap ambigue;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
94800008;Total Access;60 AV DE STALINGRAD;94800;Villejuif;48.785418;2.3666;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
13170013;Eni;RN 113;13170;Les Pennes-Mirabeau;43.411139;5.30966;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
38500006;TotalEnergies;7 RUE DE L'INDUSTRIE;38500;Voiron;45.35872;5.5921749;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
62180002;Intermarché;LA FOLIE NORD;62180;Rang-du-Fliers;50.414143;1.6092676;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
33340001;Carrefour;25 COURS GEORGES MANDEL;33340;Lesparre-Médoc;45.3110571;-0.9395376;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
33760002;Carrefour;Route de Bordeaux;33760;Targon;44.7356835;-0.2670073;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
39700013;Total Access;ROUTE NATIONALE 73;39700;Rochefort-sur-Nenon;47.116137;5.538522;a_verifier_google_places;adresse BAN eloignee des coordonnees, correspondance OpenStreetMap ambigue;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
76240001;Super U;rue Etienne ACHAVANNE;76240;Bonsecours;49.418;1.133;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
42100005;Esso Express;36 Rue de Terrenoire;42100;Saint-Étienne;45.43331;4.4161793;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
43000004;Esso Express;106 Avenue Maréchal Foch;43000;Le Puy-en-Velay;45.033;3.886;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
20129001;Vito;SUARALTA;20129;Bastelicaccia;41.924;8.825;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
38200019;Monoprix;2 RUE DU COLONEL ARNAUD BELTRAME;38200;Vienne;45.502489;4.850513;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
44260003;Système U;Rue des Musiciens;44260;Malville;47.35931;-1.86116;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
45100008;Relais Orléans La Source;39 AV .J.F.KENNEDY;45100;Orléans;47.84264;1.92524;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
55200004;Intermarché;1 rue Jean Moulin;55200;Commercy;48.7546556;5.5881169;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
74350006;Avia;363 ROUTE D'ANNECY;74350;Cruseilles;46.0295221;6.1057577;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
71600003;E.Leclerc;Parc d'activités de Champ Bossu;71600;Paray-le-Monial;46.467142;4.113163;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
